original_time,index
0.434,1
2.064,2
2.458,3
2.689,4
2.83,5
2.849,6
3.148,7
3.766,8
3.857,9
4.374,10
4.533,11
6.73,12
8.597,13
12.426,14
12.76,15
14.142,16
14.298,17
14.997,18
17.129,19
19.944,20
20.307,21
23.837,22
25.597,23
25.894,24
26.931,25
27.532,26
27.901,27
30.051,28
30.696,29
33.464,30
35.691,31
37.145,32
38.151,33
38.671,34
41.19,35
41.518,36
43.11,37
43.481,38
43.808,39
44.464,40
44.468,41
44.97,42
45.737,43
48.108,44
49.181,45
49.619,46
50.729,47
51.005,48
52.027,49
52.28,50
52.896,51
54.701,52
55.788,53
56.448,54
56.783,55
57.644,56
58.204,57
58.978,58
59.047,59
59.135,60
60.454,61
65.817,62
65.96,63
67.842,64
68.33,65
68.434,66
69.237,67
70.156,68
73.095,69
74.225,70
75.629,71
82.163,72
83.326,73
83.582,74
86.742,75
94.056,76
94.827,77
96.757,78
100.047,79
100.197,80
101.603,81
102.522,82
104.597,83
105.803,84
112.206,85
113.024,86
115.919,87
117.974,88
118.781,89
119.035,90
119.883,91
121.401,92
123.02,93
123.43,94
124.214,95
129.23,96
129.398,97
132.617,98
135.389,99
136.507,100
137.196,101
140.712,102
141.189,103
143.814,104
145.457,105
147.715,106
153.889,107
154.944,108
155.335,109
156.196,110
157.215,111
158.406,112
158.588,113
160.797,114
161.236,115
166.213,116
166.636,117
167.406,118
168.154,119
168.515,120
170.799,121
181.244,122
182.586,123
182.69,124
183.888,125
185.882,126
188.217,127
190.233,128
190.773,129
191.23,130
195.66,131
198.703,132
199.958,133
200.04,134
200.478,135
202.6,136
203.35,137
204.361,138
207.259,139
208.459,140
208.981,141
213.491,142
220.286,143
222.008,144
230.266,145
233.473,146
233.887,147
233.981,148
234.87,149
237.224,150
240.268,151
241.881,152
248.333,153
249.654,154
250.461,155
258.298,156
259.862,157
259.87,158
260.724,159
261.533,160
262.498,161
269.981,162
270.216,163
271.131,164
272.767,165
274.081,166
274.69,167
275.265,168
275.552,169
278.961,170
279.243,171
281.504,172
282.276,173
284.356,174
289.102,175
290.89,176
292.85,177
293.36,178
293.64,179
297.216,180
297.894,181
299.808,182
300.075,183
300.621,184
305.533,185
305.867,186
308.147,187
324.235,188
324.908,189
324.976,190
337.716,191
339.711,192
339.737,193
342.143,194
342.77,195
348.121,196
350.458,197
351.898,198
353.48,199
353.742,200
355.088,201
359.859,202
361.041,203
361.71,204
365.194,205
370.163,206
370.804,207
371.12,208
372.912,209
375.509,210
375.845,211
380.116,212
382.084,213
384.242,214
388.031,215
391.89,216
400.163,217
404.439,218
408.945,219
412.451,220
412.966,221
413.41,222
413.754,223
418.85,224
418.885,225
419.637,226
420.165,227
421.129,228
422.757,229
426.795,230
431.984,231
442.906,232
443.961,233
444.423,234
449.709,235
449.803,236
450.018,237
453.276,238
454.799,239
455.889,240
458.502,241
461.076,242
461.231,243
461.561,244
463.445,245
464.775,246
474.905,247
475.731,248
478.618,249
480.371,250
483.807,251
483.869,252
486.283,253
488.15,254
488.875,255
489.027,256
498.288,257
499.824,258
503.697,259
504.85,260
506.217,261
507.501,262
512.603,263
518.524,264
519.26,265
529.211,266
532.779,267
535.151,268
538.013,269
540.052,270
541.706,271
543.264,272
545.625,273
547.934,274
551.225,275
552.287,276
553.328,277
554.702,278
557.594,279
558.071,280
564.873,281
573.297,282
575.494,283
580.009,284
580.133,285
582.507,286
585.92,287
586.324,288
592.427,289
593.725,290
595.324,291
603.362,292
617.01,293
618.907,294
626.981,295
629.799,296
635.779,297
647.654,298
653.837,299
654.268,300
657.043,301
661.039,302
661.21,303
663.584,304
664.016,305
667.283,306
668.223,307
668.809,308
669.976,309
670.713,310
674.279,311
674.57,312
680.943,313
688.729,314
690.765,315
698.378,316
711.345,317
721.159,318
728.262,319
731.543,320
736.193,321
738.981,322
741.423,323
742.045,324
747.29,325
749.382,326
754.118,327
756.345,328
774.093,329
783.544,330
796.455,331
801.446,332
802.173,333
806.509,334
808.933,335
816.619,336
820.333,337
826.855,338
839.365,339
844.18,340
853.062,341
854.413,342
863.941,343
869.319,344
869.382,345
876.794,346
887.857,347
900.464,348
909.169,349
915.306,350
922.978,351
929.047,352
944.681,353
974.734,354
982.252,355
987.352,356
1000.699,357
1000.869,358
1002.853,359
1017.351,360
1018.663,361
1021.157,362
1021.188,363
1033.337,364
1051.531,365
1060.324,366
1066.836,367
1069.128,368
1087.601,369
1106.336,370
1117.247,371
1121.214,372
1125.863,373
1152.215,374
1177.542,375
1186.1,376
1187.854,377
1206.672,378
1206.905,379
1211.556,380
1262.551,381
1264.969,382
1284.657,383
1299.207,384
1308.514,385
1313.911,386
1322.58,387
1323.295,388
1327.763,389
1350.357,390
1357.508,391
1360.011,392
1375.634,393
1394.902,394
1417.873,395
1427.246,396
1429.74,397
1457.468,398
1469.907,399
1476.577,400
1488,401
1495.882,402
1532.668,403
1539.267,404
1586.563,405
1599.14,406
1615.146,407
1627.7,408
1655.189,409
1678.456,410
1682.187,411
1686.647,412
1716.026,413
1717.215,414
1857.407,415
1865.198,416
1962.177,417
1990.92,418
2083.887,419
2116.602,420
2143.914,421
2200.419,422
2206.45,423
2207.726,424
2219.506,425
2228.536,426
2238.965,427
2315.206,428
2342.234,429
2360.837,430
2382.58,431
2408.077,432
2465.422,433
2541.48,434
2546.74,435
2604.836,436
2630.997,437
2676.537,438
2678.196,439
2694.307,440
2697.119,441
2783.722,442
2796.07,443
2796.279,444
2818.016,445
2862.713,446
2890.745,447
3086.256,448
3129.981,449
3180.079,450
3213.751,451
3257.609,452
3352.423,453
3423.285,454
3436.956,455
3528.965,456
3593.464,457
3704.948,458
3786.681,459
3881.115,460
3939.459,461
3968.378,462
4057.442,463
4062.274,464
4514.041,465
4526.368,466
4576.757,467
4610.628,468
4655.408,469
4802.53,470
4913.886,471
4942.704,472